person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
31,552000,RENT,0.0,PERSONAL,A,8000,7.29,0,0.01,N,10
30,648000,RENT,6.0,DEBTCONSOLIDATION,C,8000,12.73,0,0.01,Y,10
32,703800,RENT,14.0,MEDICAL,D,12000,15.33,1,0.01,Y,9
29,300000,RENT,1.0,HOMEIMPROVEMENT,B,16000,11.58,0,0.05,N,8
32,572400,RENT,16.0,MEDICAL,B,16000,9.76,0,0.03,N,5
35,234600,MORTGAGE,1.0,HOMEIMPROVEMENT,D,7500,15.05,0,0.03,Y,6
27,235000,MORTGAGE,5.0,VENTURE,C,28000,15.96,0,0.12,N,5
33,235000,MORTGAGE,3.0,EDUCATION,B,25000,10.62,0,0.11,N,6
31,235000,OWN,5.0,MEDICAL,D,11200,15.65,0,0.05,N,5
32,237000,MORTGAGE,14.0,HOMEIMPROVEMENT,B,21000,9.2,0,0.09,N,9
29,240000,MORTGAGE,13.0,DEBTCONSOLIDATION,A,12000,6.03,0,0.05,N,9
33,240000,OWN,15.0,PERSONAL,C,15000,13.16,0,0.06,Y,10
29,242400,OWN,12.0,MEDICAL,B,35000,10.37,0,0.14,N,8
27,244000,OTHER,0.0,VENTURE,D,15000,14.42,0,0.06,Y,5
28,245000,MORTGAGE,0.0,PERSONAL,E,18000,17.39,0,0.07,Y,9
32,249996,MORTGAGE,4.0,PERSONAL,C,14000,12.99,0,0.06,N,8
29,249999,MORTGAGE,2.0,EDUCATION,A,25000,6.62,0,0.1,N,9
29,250000,MORTGAGE,5.0,PERSONAL,A,10000,7.49,0,0.04,N,10
30,250000,OWN,8.0,MEDICAL,D,15000,15.99,0,0.06,Y,8
31,250000,MORTGAGE,14.0,PERSONAL,D,12000,14.09,0,0.05,Y,6
32,250000,MORTGAGE,7.0,EDUCATION,B,20000,11.48,0,0.08,N,10
29,250000,MORTGAGE,13.0,EDUCATION,C,20000,13.79,0,0.08,N,8
30,250000,MORTGAGE,1.0,DEBTCONSOLIDATION,B,5000,9.01,0,0.02,N,8
32,262000,MORTGAGE,12.0,MEDICAL,B,12800,9.91,0,0.05,N,8
27,264000,MORTGAGE,0.0,MEDICAL,A,35000,7.49,0,0.13,N,5
30,253000,MORTGAGE,3.0,DEBTCONSOLIDATION,D,24000,14.96,1,0.09,N,7
29,265000,MORTGAGE,2.0,PERSONAL,B,25000,11.26,0,0.09,N,10
28,266000,MORTGAGE,12.0,PERSONAL,A,9000,5.42,0,0.03,N,10
30,275000,MORTGAGE,14.0,EDUCATION,B,7000,11.71,0,0.03,N,10
31,275000,MORTGAGE,4.0,PERSONAL,B,30000,10.59,0,0.11,N,8
27,275000,MORTGAGE,11.0,VENTURE,B,35000,10.99,0,0.13,N,6
34,275004,MORTGAGE,2.0,VENTURE,D,25000,16.32,0,0.09,Y,9
29,290000,MORTGAGE,13.0,PERSONAL,B,13175,10.99,0,0.05,N,7
27,290000,MORTGAGE,0.0,MEDICAL,B,7875,9.99,0,0.03,N,6
31,294000,MORTGAGE,7.0,VENTURE,A,12000,8.94,0,0.04,N,6
30,300000,OWN,14.0,HOMEIMPROVEMENT,B,35000,10.59,0,0.12,N,10
28,300000,MORTGAGE,1.0,PERSONAL,C,9600,15.23,0,0.03,Y,10
28,300000,MORTGAGE,12.0,EDUCATION,C,10125,15.23,0,0.03,N,6
28,288000,MORTGAGE,12.0,VENTURE,G,18000,22.48,1,0.06,Y,9
31,300000,MORTGAGE,1.0,VENTURE,C,35000,15.23,0,0.12,N,6
27,300000,MORTGAGE,11.0,DEBTCONSOLIDATION,A,35000,7.49,0,0.12,N,8
28,300000,MORTGAGE,11.0,DEBTCONSOLIDATION,A,10800,6.92,0,0.04,N,5
32,300000,MORTGAGE,2.0,MEDICAL,C,24000,12.87,0,0.08,N,10
30,300000,MORTGAGE,3.0,VENTURE,A,6000,9.63,0,0.02,N,10
30,300000,MORTGAGE,14.0,MEDICAL,B,20000,11.58,0,0.07,N,9
33,300000,OWN,8.0,MEDICAL,D,25000,14.42,0,0.08,Y,7
30,310000,MORTGAGE,13.0,DEBTCONSOLIDATION,B,14000,10.99,0,0.05,N,10
27,320000,MORTGAGE,11.0,DEBTCONSOLIDATION,A,28000,7.9,0,0.09,N,9
33,320000,MORTGAGE,2.0,VENTURE,A,14000,7.91,0,0.04,N,5
31,325000,MORTGAGE,4.0,MEDICAL,A,10000,5.99,0,0.03,N,7
28,270300,MORTGAGE,3.0,MEDICAL,E,25000,17.88,1,0.08,N,6
35,273700,MORTGAGE,8.0,MEDICAL,D,25000,14.59,1,0.08,N,6
29,350000,MORTGAGE,13.0,DEBTCONSOLIDATION,A,12000,7.51,0,0.03,N,7
34,357000,MORTGAGE,3.0,HOMEIMPROVEMENT,E,14000,18.64,0,0.04,Y,9
31,371000,MORTGAGE,0.0,HOMEIMPROVEMENT,A,5875,7.74,0,0.02,N,9
30,372000,OWN,4.0,HOMEIMPROVEMENT,B,2400,10.99,0,0.01,N,5
32,385000,MORTGAGE,3.0,VENTURE,A,19925,7.9,0,0.05,N,9
33,410000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,35000,10.37,0,0.09,N,5
35,415000,MORTGAGE,2.0,HOMEIMPROVEMENT,E,15500,16.45,0,0.04,Y,10
29,420000,MORTGAGE,5.0,DEBTCONSOLIDATION,C,8000,12.73,0,0.02,N,5
29,445000,MORTGAGE,3.0,PERSONAL,B,25000,9.62,0,0.06,N,5
29,450000,MORTGAGE,4.0,EDUCATION,D,25000,15.37,0,0.06,N,7
29,480000,MORTGAGE,6.0,MEDICAL,A,6500,5.42,0,0.01,N,6
34,397800,MORTGAGE,5.0,MEDICAL,D,14000,14.61,1,0.03,Y,5
30,522000,MORTGAGE,11.0,HOMEIMPROVEMENT,A,2500,7.43,0,0.0,N,9
28,604000,MORTGAGE,12.0,PERSONAL,B,25000,9.01,1,0.04,N,9
31,741600,MORTGAGE,3.0,MEDICAL,B,12000,10.25,0,0.02,N,6
32,750000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,30000,9.91,0,0.04,N,8
35,762000,OWN,8.0,MEDICAL,A,10000,8.94,0,0.01,N,10
29,240000,MORTGAGE,11.0,PERSONAL,D,35000,14.91,0,0.15,N,6
29,280000,MORTGAGE,6.0,MEDICAL,C,15000,12.99,0,0.05,Y,6
31,260000,MORTGAGE,6.0,MEDICAL,C,25000,13.57,0,0.1,Y,6
31,275000,MORTGAGE,9.0,VENTURE,C,25000,13.85,0,0.09,N,7
34,263004,MORTGAGE,2.0,DEBTCONSOLIDATION,D,25000,16.32,1,0.1,Y,9
35,762000,OWN,8.0,MEDICAL,A,10000,8.94,0,0.01,N,8
27,235000,MORTGAGE,5.0,PERSONAL,C,28000,15.96,0,0.12,N,9
30,265000,MORTGAGE,3.0,HOMEIMPROVEMENT,D,24000,14.96,0,0.09,Y,7
31,238000,MORTGAGE,14.0,DEBTCONSOLIDATION,D,12000,14.09,1,0.05,Y,10
29,260000,MORTGAGE,0.0,HOMEIMPROVEMENT,B,20000,10.37,0,0.08,N,6
27,258000,RENT,11.0,EDUCATION,E,35000,18.64,1,0.14,N,10
32,348000,MORTGAGE,16.0,PERSONAL,B,25000,11.83,0,0.07,N,10
33,612000,RENT,3.0,MEDICAL,C,5950,12.73,0,0.01,Y,10
32,250000,MORTGAGE,9.0,VENTURE,D,25000,14.59,0,0.1,N,7
31,351699,RENT,7.0,HOMEIMPROVEMENT,D,10500,15.7,0,0.03,N,9
35,250000,OWN,8.0,VENTURE,B,15000,9.88,0,0.06,N,9
33,400000,MORTGAGE,9.0,MEDICAL,A,15000,6.03,0,0.04,N,6
30,300000,OWN,14.0,VENTURE,B,35000,10.59,0,0.12,N,5
34,480000,MORTGAGE,5.0,PERSONAL,D,14000,14.61,0,0.03,N,9
32,240000,MORTGAGE,5.0,MEDICAL,A,8400,7.51,0,0.04,N,6
29,480000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,6500,5.42,0,0.01,N,9
36,1200000,OWN,16.0,MEDICAL,A,10000,6.54,0,0.01,N,11
40,1200000,MORTGAGE,1.0,MEDICAL,A,10000,7.49,0,0.01,N,16
50,900000,MORTGAGE,11.0,DEBTCONSOLIDATION,B,30000,12.69,0,0.03,N,15
36,900000,MORTGAGE,8.0,PERSONAL,B,6000,10.99,0,0.01,N,12
39,708000,MORTGAGE,14.0,DEBTCONSOLIDATION,B,25000,12.18,0,0.04,N,12
44,584800,MORTGAGE,4.0,MEDICAL,C,20000,13.48,1,0.03,Y,16
36,700000,MORTGAGE,16.0,MEDICAL,C,25000,12.53,0,0.04,Y,13
40,540600,MORTGAGE,8.0,MEDICAL,D,35000,15.99,1,0.06,Y,11
43,500000,MORTGAGE,5.0,VENTURE,C,25000,12.61,0,0.05,Y,14
39,403750,MORTGAGE,10.0,MEDICAL,B,35000,10.99,1,0.07,N,11
41,480000,MORTGAGE,3.0,DEBTCONSOLIDATION,A,16000,7.9,0,0.03,N,17
36,408000,MORTGAGE,12.0,HOMEIMPROVEMENT,A,35000,7.9,0,0.09,N,13
37,408000,RENT,14.0,EDUCATION,C,6000,12.61,0,0.01,N,13
43,400000,MORTGAGE,5.0,VENTURE,B,28000,9.91,0,0.07,N,11
43,350000,MORTGAGE,3.0,MEDICAL,B,18000,11.49,0,0.05,N,16
46,336000,OWN,11.0,VENTURE,B,9000,11.49,0,0.03,N,13
38,306000,MORTGAGE,9.0,VENTURE,B,15000,10.62,0,0.05,N,17
47,305000,MORTGAGE,6.0,HOMEIMPROVEMENT,C,10000,13.43,0,0.03,Y,12
46,305000,MORTGAGE,22.0,VENTURE,E,20000,17.93,0,0.07,N,13
42,300000,MORTGAGE,0.0,PERSONAL,D,10000,17.27,0,0.03,Y,14
37,300000,MORTGAGE,7.0,EDUCATION,B,25000,11.49,0,0.08,N,14
36,280000,RENT,3.0,DEBTCONSOLIDATION,C,5000,14.26,0,0.02,N,16
41,268000,MORTGAGE,0.0,PERSONAL,B,24000,10.37,0,0.09,N,11
43,267000,MORTGAGE,14.0,DEBTCONSOLIDATION,B,21000,12.69,0,0.08,N,13
37,260000,MORTGAGE,12.0,VENTURE,D,20000,14.96,0,0.08,N,12
36,250000,MORTGAGE,14.0,PERSONAL,C,31400,14.27,0,0.13,Y,16
41,250000,MORTGAGE,18.0,EDUCATION,B,5000,9.99,0,0.02,N,12
36,250000,RENT,2.0,DEBTCONSOLIDATION,A,20000,7.88,0,0.08,N,17
41,250000,MORTGAGE,14.0,DEBTCONSOLIDATION,C,4200,13.11,0,0.02,N,14
36,250000,MORTGAGE,2.0,VENTURE,A,4000,7.14,0,0.02,N,12
36,430000,RENT,2.0,VENTURE,C,25000,13.8,0,0.06,Y,16
42,889000,RENT,13.0,EDUCATION,A,20000,7.49,0,0.02,N,17
37,528000,RENT,4.0,VENTURE,D,15000,15.31,0,0.03,N,12
36,372000,RENT,4.0,DEBTCONSOLIDATION,E,2000,16.82,1,0.01,Y,14
39,360000,RENT,1.0,PERSONAL,B,3000,11.48,0,0.01,N,12
47,244000,RENT,10.0,HOMEIMPROVEMENT,C,9000,13.61,0,0.04,N,11
42,2039784,RENT,0.0,VENTURE,C,8450,12.29,0,0.0,Y,15
37,780000,RENT,9.0,HOMEIMPROVEMENT,B,7500,12.18,0,0.01,N,15
39,275000,RENT,12.0,PERSONAL,A,12000,8.49,0,0.04,N,14
42,300000,RENT,26.0,MEDICAL,A,16000,9.63,0,0.05,N,15
40,250000,MORTGAGE,8.0,EDUCATION,A,28000,7.9,0,0.11,N,13
39,250000,MORTGAGE,21.0,VENTURE,C,4000,15.23,0,0.02,N,13
37,250000,MORTGAGE,2.0,EDUCATION,C,34000,14.79,0,0.14,N,16
36,238000,MORTGAGE,2.0,DEBTCONSOLIDATION,E,25000,15.95,1,0.11,N,17
40,275004,MORTGAGE,2.0,MEDICAL,B,24500,10.99,0,0.09,N,13
36,290000,MORTGAGE,6.0,PERSONAL,D,25000,15.65,0,0.09,N,16
37,244800,MORTGAGE,20.0,MEDICAL,E,35000,18.39,1,0.12,N,14
40,300000,MORTGAGE,3.0,VENTURE,C,16000,14.17,0,0.05,Y,14
38,313000,MORTGAGE,0.0,DEBTCONSOLIDATION,C,21600,13.48,0,0.07,Y,16
42,316800,MORTGAGE,3.0,PERSONAL,D,19400,15.31,0,0.06,Y,13
36,261800,MORTGAGE,16.0,MEDICAL,B,24000,10.62,1,0.08,N,16
39,310400,MORTGAGE,13.0,DEBTCONSOLIDATION,D,15000,15.65,1,0.05,Y,11
39,325000,MORTGAGE,14.0,PERSONAL,D,18000,14.96,0,0.06,Y,14
42,360000,MORTGAGE,11.0,EDUCATION,B,25000,9.99,0,0.07,N,14
41,381450,MORTGAGE,10.0,MEDICAL,C,35000,13.49,0,0.09,Y,14
41,444000,MORTGAGE,4.0,EDUCATION,D,2500,15.31,0,0.01,N,11
40,550000,MORTGAGE,4.0,VENTURE,B,18000,11.12,0,0.03,N,12
40,550000,MORTGAGE,5.0,MEDICAL,B,8000,10.75,0,0.01,N,14
37,600000,OWN,11.0,HOMEIMPROVEMENT,B,16000,10.25,0,0.03,N,14
42,499800,OWN,4.0,MEDICAL,F,24000,18.43,1,0.04,Y,11
42,600000,OTHER,2.0,EDUCATION,D,25000,14.74,0,0.04,N,11
43,780000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,1000,8.94,0,0.0,N,11
37,800000,MORTGAGE,10.0,DEBTCONSOLIDATION,B,15000,11.36,0,0.02,N,17
36,828000,MORTGAGE,3.0,HOMEIMPROVEMENT,B,4200,10.99,0,0.01,N,16
37,900000,MORTGAGE,5.0,PERSONAL,C,25000,12.87,0,0.03,Y,13
47,1362000,MORTGAGE,9.0,VENTURE,A,6600,7.74,0,0.0,N,17
44,1440000,MORTGAGE,7.0,DEBTCONSOLIDATION,A,6400,7.4,0,0.0,N,15
42,360000,MORTGAGE,11.0,HOMEIMPROVEMENT,B,25000,9.99,0,0.07,N,17
36,828000,MORTGAGE,3.0,MEDICAL,B,4200,10.99,0,0.01,N,13
37,780000,RENT,9.0,VENTURE,B,7500,12.18,0,0.01,N,13
43,400000,MORTGAGE,5.0,HOMEIMPROVEMENT,B,28000,9.91,0,0.07,N,11
41,381450,MORTGAGE,10.0,PERSONAL,C,35000,13.49,0,0.09,Y,16
46,336000,OWN,11.0,EDUCATION,B,9000,11.49,0,0.03,N,14
36,430000,RENT,2.0,EDUCATION,C,25000,13.8,0,0.06,N,11
43,350000,MORTGAGE,3.0,PERSONAL,B,18000,11.49,0,0.05,N,14
39,325000,MORTGAGE,14.0,PERSONAL,D,18000,14.96,0,0.06,Y,17
42,600000,OTHER,2.0,HOMEIMPROVEMENT,D,25000,14.74,0,0.04,Y,16
58,900000,RENT,18.0,DEBTCONSOLIDATION,C,19600,13.98,0,0.02,N,28
51,667680,MORTGAGE,19.0,PERSONAL,C,10000,13.98,0,0.01,Y,22
51,500000,MORTGAGE,1.0,PERSONAL,B,20000,10.37,0,0.04,N,19
53,304800,RENT,6.0,VENTURE,B,5000,8.88,0,0.02,N,29
66,300000,MORTGAGE,3.0,PERSONAL,A,28000,6.62,0,0.09,N,23
51,260000,MORTGAGE,1.0,PERSONAL,A,14000,7.66,0,0.05,N,26
63,1782000,RENT,13.0,EDUCATION,C,12025,14.27,0,0.01,N,30
52,720000,MORTGAGE,1.0,PERSONAL,A,7925,8.94,0,0.01,N,30
58,780000,MORTGAGE,7.0,PERSONAL,A,4500,6.91,0,0.01,N,20
60,1900000,MORTGAGE,5.0,PERSONAL,A,1500,7.49,0,0.0,N,21
58,780000,MORTGAGE,7.0,PERSONAL,A,4500,6.91,0,0.01,N,19
